"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)","Mapping: RIM Mapping"
"FRCDAMaterialPharm.determinerCode","FRCDAMaterialPharm.determinerCode","","","",0,1,"","","","code {[CanonicalType[http://hl7.org/cda/stds/core/StructureDefinition/cs-simple|2.0.3-sd]]} {[]}
","","","","","","","<valueCode xmlns=""http://hl7.org/fhir"" value=""KIND""/>","","","","",,"required","","http://terminology.hl7.org/ValueSet/v3-EntityDeterminerDetermined|3.0.0","",,,,"Material.determinerCode",0,1,"",""
"FRCDAMaterialPharm.code","FRCDAMaterialPharm.code","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","","","","","","","","","","","",,"example","","http://hl7.org/cda/stds/core/ValueSet/CDAMaterialEntityClassType|2.0.3-sd","",,,,"Material.code",0,1,"",""
"FRCDAMaterialPharm.name","FRCDAMaterialPharm.name","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/EN {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Material.name",0,1,"",""
"FRCDAMaterialPharm.lotNumberText","FRCDAMaterialPharm.lotNumberText","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/ST {[]} {[]}
","","","","","","","","","","","",,,,,"",,,,"Material.lotNumberText",0,1,"",""
"FRCDAMaterialPharm.sdtcExpirationTime","FRCDAMaterialPharm.sdtcExpirationTime","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/IVL-TS {[]} {[]}
","","The date and time the manufacturer no longer ensures the safety, quality, and/or proper functioning of the material.","","There is a need in many situations that the materials used are of a specific quality or potency or functional status. The ending date for this guarantee is specified by the manufacturer. After that date, while the material may still provide the same characteristics, the manufacturer no longer takes responsibility that the product will perform as specified and denies responsibility for failure of the material after that date.","","","","","","","",,,,,"",,,,"Material.sdtcExpirationTime",0,1,"",""
"FRCDAMaterialPharm.formCode","FRCDAMaterialPharm.formCode","","","",0,1,"","","","http://hl7.org/cda/stds/core/StructureDefinition/CE {[]} {[]}
","Forme pharmaceutique","Code représentant la forme pharmaceutique du produit de santé.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.formCode",0,1,"",""
"FRCDAMaterialPharm.asSpecializedKind","FRCDAMaterialPharm.asSpecializedKind","","","",0,1,"","","","BackboneElement {[]} {[]}
","Classification du produit","Relation entre le produit de santé et une classe générique ou thérapeutique.","","","","","","","","","",,,,,"",,,,"FRCDAMaterialPharm.asSpecializedKind",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"FRCDAMaterialPharm.asSpecializedKind.id","FRCDAMaterialPharm.asSpecializedKind.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
","","n/a"
"FRCDAMaterialPharm.asSpecializedKind.extension","FRCDAMaterialPharm.asSpecializedKind.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","n/a"
"FRCDAMaterialPharm.asSpecializedKind.modifierExtension","FRCDAMaterialPharm.asSpecializedKind.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}","N/A"
