Fragment,Count,Time (ms),Size (bytes)
Cross.list-name-specimendefinitions-xml,2,2,0
Cross.list-name-structuredefinitions,2,20,141998
Cross.list-name-structuredefinitions-json,2,24,143988
Cross.list-name-structuredefinitions-xml,2,27,143590
Cross.list-name-structuremaps,2,0,0
Cross.list-name-structuremaps-json,2,1,0
Cross.list-name-structuremaps-xml,2,2,0
Cross.list-name-subscriptions,2,0,0
Cross.list-name-subscriptions-json,2,1,0
Cross.list-name-subscriptions-xml,2,1,0
Cross.list-name-subscriptionstatuses,2,0,0
Cross.list-name-subscriptionstatuses-json,2,1,0
Cross.list-name-subscriptionstatuses-xml,2,2,0
Cross.list-name-subscriptiontopics,2,0,0
Cross.list-name-subscriptiontopics-json,2,1,0
Cross.list-name-subscriptiontopics-xml,2,2,0
Cross.list-name-substancedefinitions,2,0,0
Cross.list-name-substancedefinitions-json,2,2,0
Cross.list-name-substancedefinitions-xml,2,2,0
Cross.list-name-substancenucleicacids,2,0,0
Cross.list-name-substancenucleicacids-json,2,0,0
Cross.list-name-substancenucleicacids-xml,2,2,0
Cross.list-name-substancepolymers,2,0,0
Cross.list-name-substancepolymers-json,2,0,0
Cross.list-name-substancepolymers-xml,2,1,0
Cross.list-name-substanceproteins,2,0,0
Cross.list-name-substanceproteins-json,2,1,0
Cross.list-name-substanceproteins-xml,2,2,0
Cross.list-name-substancereferenceinformations,2,0,0
Cross.list-name-substancereferenceinformations-json,2,1,0
Cross.list-name-substancereferenceinformations-xml,2,1,0
Cross.list-name-substances,2,0,0
Cross.list-name-substances-json,2,0,0
Cross.list-name-substances-xml,2,1,0
Cross.list-name-substancesourcematerials,2,1,0
Cross.list-name-substancesourcematerials-json,2,2,0
Cross.list-name-substancesourcematerials-xml,2,2,0
Cross.list-name-supplydeliveries,2,0,0
Cross.list-name-supplydeliveries-json,2,0,0
Cross.list-name-supplydeliveries-xml,2,2,0
Cross.list-name-supplyrequests,2,0,0
Cross.list-name-supplyrequests-json,2,2,0
Cross.list-name-supplyrequests-xml,2,2,0
Cross.list-name-tasks,2,0,0
Cross.list-name-tasks-json,2,0,0
Cross.list-name-tasks-xml,2,1,0
Cross.list-name-terminologycapabilities,2,0,0
Cross.list-name-terminologycapabilities-json,2,1,0
Cross.list-name-terminologycapabilities-xml,2,2,0
Cross.list-name-testplans,2,0,0
Cross.list-name-testplans-json,2,1,0
Cross.list-name-testplans-xml,2,2,0
Cross.list-name-testreports,2,0,0
Cross.list-name-testreports-json,2,1,0
Cross.list-name-testreports-xml,2,1,0
Cross.list-name-testscripts,2,0,0
Cross.list-name-testscripts-json,2,1,0
Cross.list-name-testscripts-xml,2,1,0
Cross.list-name-transports,2,0,0
Cross.list-name-transports-json,2,2,0
Cross.list-name-transports-xml,2,2,0
Cross.list-name-valuesets,2,0,2470
Cross.list-name-valuesets-json,2,2,2520
Cross.list-name-valuesets-xml,2,2,2510
Cross.list-name-verificationresults,2,0,0
Cross.list-name-verificationresults-json,2,0,0
Cross.list-name-verificationresults-xml,2,1,0
Cross.list-name-visionprescriptions,2,0,0
Cross.list-name-visionprescriptions-json,2,0,0
Cross.list-name-visionprescriptions-xml,2,1,0
Cross.list-namingsystems,2,0,0
Cross.list-namingsystems-json,2,1,0
Cross.list-namingsystems-xml,2,2,0
Cross.list-nutritionintakes,2,0,0
Cross.list-nutritionintakes-json,2,1,0
Cross.list-nutritionintakes-xml,2,2,0
Cross.list-nutritionorders,2,0,0
Cross.list-nutritionorders-json,2,1,0
Cross.list-nutritionorders-xml,2,3,0
Cross.list-nutritionproducts,2,0,0
Cross.list-nutritionproducts-json,2,1,0
Cross.list-nutritionproducts-xml,2,2,0
Cross.list-observationdefinitions,2,0,0
Cross.list-observationdefinitions-json,2,1,0
Cross.list-observationdefinitions-xml,2,2,0
Cross.list-observations,2,1,0
Cross.list-observations-json,2,2,0
Cross.list-observations-xml,2,2,0
Cross.list-operationdefinitions,2,0,0
Cross.list-operationdefinitions-json,2,1,0
Cross.list-operationdefinitions-xml,2,2,0
Cross.list-operationoutcomes,2,0,0
Cross.list-operationoutcomes-json,2,1,0
Cross.list-operationoutcomes-xml,2,2,0
Cross.list-organizationaffiliations,2,0,0
Cross.list-organizationaffiliations-json,2,0,0
Cross.list-organizationaffiliations-xml,2,1,0
Cross.list-organizations,2,0,0
Cross.list-organizations-json,2,1,0
Cross.list-organizations-xml,2,2,0
Cross.list-packagedproductdefinitions,2,0,0
Cross.list-packagedproductdefinitions-json,2,1,0
Cross.list-packagedproductdefinitions-xml,2,2,0
Cross.list-parameters,2,0,0
Cross.list-parameters-json,2,1,0
Cross.list-parameters-xml,2,1,0
Cross.list-patients,2,0,0
Cross.list-patients-json,2,0,0
Cross.list-patients-xml,2,1,0
Cross.list-paymentnotices,2,0,0
Cross.list-paymentnotices-json,2,0,0
Cross.list-paymentnotices-xml,2,1,0
Cross.list-paymentreconciliations,2,1,0
Cross.list-paymentreconciliations-json,2,1,0
Cross.list-paymentreconciliations-xml,2,2,0
Cross.list-people,2,0,0
Cross.list-people-json,2,2,0
Cross.list-people-xml,2,2,0
Cross.list-permissions,2,0,0
Cross.list-permissions-json,2,0,0
Cross.list-permissions-xml,2,2,0
Cross.list-plandefinitions,2,0,0
Cross.list-plandefinitions-json,2,2,0
Cross.list-plandefinitions-xml,2,2,0
Cross.list-practitionerroles,2,0,0
Cross.list-practitionerroles-json,2,0,0
Cross.list-practitionerroles-xml,2,0,0
Cross.list-practitioners,2,0,0
Cross.list-practitioners-json,2,2,0
Cross.list-practitioners-xml,2,2,0
Cross.list-procedures,2,0,0
Cross.list-procedures-json,2,2,0
Cross.list-procedures-xml,2,3,0
Cross.list-provenances,2,0,0
Cross.list-provenances-json,2,2,0
Cross.list-provenances-xml,2,2,0
Cross.list-questionnaireresponses,2,0,0
Cross.list-questionnaireresponses-json,2,0,0
Cross.list-questionnaireresponses-xml,2,1,0
Cross.list-questionnaires,2,0,0
Cross.list-questionnaires-json,2,1,0
Cross.list-questionnaires-xml,2,2,0
Cross.list-regulatedauthorizations,2,0,0
Cross.list-regulatedauthorizations-json,2,1,0
Cross.list-regulatedauthorizations-xml,2,2,0
Cross.list-relatedpeople,2,0,0
Cross.list-relatedpeople-json,2,0,0
Cross.list-relatedpeople-xml,2,2,0
Cross.list-requestorchestrations,2,0,0
Cross.list-requestorchestrations-json,2,1,0
Cross.list-requestorchestrations-xml,2,2,0
Cross.list-requirements,2,0,0
Cross.list-requirements-json,2,0,0
Cross.list-requirements-xml,2,1,0
Cross.list-researchstudies,2,0,0
Cross.list-researchstudies-json,2,1,0
Cross.list-researchstudies-xml,2,2,0
Cross.list-researchsubjects,2,0,0
Cross.list-researchsubjects-json,2,0,0
Cross.list-researchsubjects-xml,2,1,0
Cross.list-resources,2,0,0
Cross.list-resources-json,2,1,0
Cross.list-resources-xml,2,2,0
Cross.list-riskassessments,2,0,0
Cross.list-riskassessments-json,2,2,0
Cross.list-riskassessments-xml,2,2,0
Cross.list-schedules,2,0,0
Cross.list-schedules-json,2,1,0
Cross.list-schedules-xml,2,2,0
Cross.list-searchparameters,2,0,0
Cross.list-searchparameters-json,2,0,0
Cross.list-searchparameters-xml,2,1,0
Cross.list-servicerequests,2,0,0
Cross.list-servicerequests-json,2,0,0
Cross.list-servicerequests-xml,2,1,0
Cross.list-simple-accounts,2,0,0
Cross.list-simple-accounts-json,2,1,0
Cross.list-simple-accounts-xml,2,2,0
Cross.list-simple-activitydefinitions,2,0,0
Cross.list-simple-activitydefinitions-json,2,0,0
Cross.list-simple-activitydefinitions-xml,2,0,0
Cross.list-simple-actordefinitions,2,0,0
Cross.list-simple-actordefinitions-json,2,2,0
Cross.list-simple-actordefinitions-xml,2,2,0
Cross.list-simple-administrableproductdefinitions,2,0,0
Cross.list-simple-administrableproductdefinitions-json,2,2,0
Cross.list-simple-administrableproductdefinitions-xml,2,2,0
Cross.list-simple-adverseevents,2,0,0
Cross.list-simple-adverseevents-json,2,2,0
Cross.list-simple-adverseevents-xml,2,2,0
Cross.list-simple-allergyintolerances,2,1,0
Cross.list-simple-allergyintolerances-json,2,2,0
Cross.list-simple-allergyintolerances-xml,2,2,0
Cross.list-simple-appointmentresponses,2,0,0
Cross.list-simple-appointmentresponses-json,2,2,0
Cross.list-simple-appointmentresponses-xml,2,2,0
Cross.list-simple-appointments,2,0,0
Cross.list-simple-appointments-json,2,1,0
Cross.list-simple-appointments-xml,2,1,0
Cross.list-simple-artifactassessments,2,0,0
Cross.list-simple-artifactassessments-json,2,0,0
Cross.list-simple-artifactassessments-xml,2,2,0
Cross.list-simple-auditevents,2,0,0
Cross.list-simple-auditevents-json,2,0,0
Cross.list-simple-auditevents-xml,2,1,0
Cross.list-simple-basics,2,0,0
Cross.list-simple-basics-json,2,0,0
Cross.list-simple-basics-xml,2,2,0
Cross.list-simple-binaries,2,0,138
Cross.list-simple-binaries-json,2,1,148
Cross.list-simple-binaries-xml,2,2,146
Cross.list-simple-biologicallyderivedproductdispenses,2,0,0
Cross.list-simple-biologicallyderivedproductdispenses-json,2,1,0
Cross.list-simple-biologicallyderivedproductdispenses-xml,2,1,0
Cross.list-simple-biologicallyderivedproducts,2,1,0
Cross.list-simple-biologicallyderivedproducts-json,2,1,0
Cross.list-simple-biologicallyderivedproducts-xml,2,2,0
Cross.list-simple-bodystructures,2,0,0
Cross.list-simple-bodystructures-json,2,2,0
Cross.list-simple-bodystructures-xml,2,2,0
Cross.list-simple-bundles,2,0,0
Cross.list-simple-bundles-json,2,0,0
Cross.list-simple-bundles-xml,2,2,0
Cross.list-simple-byid-accounts,2,0,0
Cross.list-simple-byid-accounts-json,2,2,0
Cross.list-simple-byid-accounts-xml,2,2,0
Cross.list-simple-byid-activitydefinitions,2,0,0
Cross.list-simple-byid-activitydefinitions-json,2,0,0
Cross.list-simple-byid-activitydefinitions-xml,2,2,0
Cross.list-simple-byid-actordefinitions,2,1,0
Cross.list-simple-byid-actordefinitions-json,2,1,0
Cross.list-simple-byid-actordefinitions-xml,2,1,0
Cross.list-simple-byid-administrableproductdefinitions,2,0,0
Cross.list-simple-byid-administrableproductdefinitions-json,2,2,0
Cross.list-simple-byid-administrableproductdefinitions-xml,2,2,0
Cross.list-simple-byid-adverseevents,2,1,0
Cross.list-simple-byid-adverseevents-json,2,1,0
Cross.list-simple-byid-adverseevents-xml,2,2,0
Cross.list-simple-byid-allergyintolerances,2,1,0
Cross.list-simple-byid-allergyintolerances-json,2,1,0
Cross.list-simple-byid-allergyintolerances-xml,2,2,0
Cross.list-simple-byid-appointmentresponses,2,0,0
Cross.list-simple-byid-appointmentresponses-json,2,1,0
Cross.list-simple-byid-appointmentresponses-xml,2,2,0
Cross.list-simple-byid-appointments,2,1,0
Cross.list-simple-byid-appointments-json,2,1,0
Cross.list-simple-byid-appointments-xml,2,2,0
Cross.list-simple-byid-artifactassessments,2,0,0
Cross.list-simple-byid-artifactassessments-json,2,1,0
Cross.list-simple-byid-artifactassessments-xml,2,2,0
Cross.list-simple-byid-auditevents,2,0,0
Cross.list-simple-byid-auditevents-json,2,1,0
Cross.list-simple-byid-auditevents-xml,2,2,0
Cross.list-simple-byid-basics,2,0,0
Cross.list-simple-byid-basics-json,2,1,0
Cross.list-simple-byid-basics-xml,2,2,0
Cross.list-simple-byid-binaries,2,1,138
Cross.list-simple-byid-binaries-json,2,1,148
Cross.list-simple-byid-binaries-xml,2,2,146
Cross.list-simple-byid-biologicallyderivedproductdispenses,2,1,0
Cross.list-simple-byid-biologicallyderivedproductdispenses-json,2,1,0
Cross.list-simple-byid-biologicallyderivedproductdispenses-xml,2,2,0
Cross.list-simple-byid-biologicallyderivedproducts,2,0,0
Cross.list-simple-byid-biologicallyderivedproducts-json,2,1,0
Cross.list-simple-byid-biologicallyderivedproducts-xml,2,2,0
Cross.list-simple-byid-bodystructures,2,2,0
Cross.list-simple-byid-bodystructures-json,2,2,0
Cross.list-simple-byid-bodystructures-xml,2,2,0
Cross.list-simple-byid-bundles,2,0,0
Cross.list-simple-byid-bundles-json,2,2,0
Cross.list-simple-byid-bundles-xml,2,2,0
Cross.list-simple-byid-canonicalresources,2,1,0
Cross.list-simple-byid-canonicalresources-json,2,1,0
Cross.list-simple-byid-canonicalresources-xml,2,2,0
Cross.list-simple-byid-capabilitystatements,2,1,0
Cross.list-simple-byid-capabilitystatements-json,2,1,0
Cross.list-simple-byid-capabilitystatements-xml,2,2,0
Cross.list-simple-byid-careplans,2,0,0
Cross.list-simple-byid-careplans-json,2,0,0
Cross.list-simple-byid-careplans-xml,2,2,0
Cross.list-simple-byid-careteams,2,0,0
Cross.list-simple-byid-careteams-json,2,1,0
Cross.list-simple-byid-careteams-xml,2,2,0
Cross.list-simple-byid-chargeitemdefinitions,2,1,0
Cross.list-simple-byid-chargeitemdefinitions-json,2,2,0
Cross.list-simple-byid-chargeitemdefinitions-xml,2,2,0
Cross.list-simple-byid-chargeitems,2,0,0
Cross.list-simple-byid-chargeitems-json,2,0,0
Cross.list-simple-byid-chargeitems-xml,2,2,0
Cross.list-simple-byid-citations,2,0,0
Cross.list-simple-byid-citations-json,2,2,0
Cross.list-simple-byid-citations-xml,2,2,0
Cross.list-simple-byid-claimresponses,2,0,0
Cross.list-simple-byid-claimresponses-json,2,0,0
Cross.list-simple-byid-claimresponses-xml,2,2,0
Cross.list-simple-byid-claims,2,0,0
Cross.list-simple-byid-claims-json,2,0,0
Cross.list-simple-byid-claims-xml,2,1,0
Cross.list-simple-byid-clinicalimpressions,2,1,0
Cross.list-simple-byid-clinicalimpressions-json,2,2,0
Cross.list-simple-byid-clinicalimpressions-xml,2,3,0
Cross.list-simple-byid-clinicalusedefinitions,2,1,0
Cross.list-simple-byid-clinicalusedefinitions-json,2,2,0
Cross.list-simple-byid-clinicalusedefinitions-xml,2,2,0
Cross.list-simple-byid-codesystems,2,1,0
Cross.list-simple-byid-codesystems-json,2,2,0
Cross.list-simple-byid-codesystems-xml,2,2,0
Cross.list-simple-byid-communicationrequests,2,1,0
Cross.list-simple-byid-communicationrequests-json,2,1,0
Cross.list-simple-byid-communicationrequests-xml,2,1,0
Cross.list-simple-byid-communications,2,1,0
Cross.list-simple-byid-communications-json,2,2,0
Cross.list-simple-byid-communications-xml,2,2,0
Cross.list-simple-byid-compartmentdefinitions,2,0,0
Cross.list-simple-byid-compartmentdefinitions-json,2,1,0
Cross.list-simple-byid-compartmentdefinitions-xml,2,2,0
Cross.list-simple-byid-compositions,2,0,0
Cross.list-simple-byid-compositions-json,2,2,0
Cross.list-simple-byid-compositions-xml,2,2,0
Cross.list-simple-byid-conceptmaps,2,0,0
Cross.list-simple-byid-conceptmaps-json,2,1,0
Cross.list-simple-byid-conceptmaps-xml,2,2,0
Cross.list-simple-byid-conditiondefinitions,2,0,0
Cross.list-simple-byid-conditiondefinitions-json,2,1,0
Cross.list-simple-byid-conditiondefinitions-xml,2,2,0
Cross.list-simple-byid-conditions,2,0,0
Cross.list-simple-byid-conditions-json,2,1,0
Cross.list-simple-byid-conditions-xml,2,2,0
Cross.list-simple-byid-consents,2,0,0
Cross.list-simple-byid-consents-json,2,0,0
Cross.list-simple-byid-consents-xml,2,1,0
Cross.list-simple-byid-contracts,2,1,0
Cross.list-simple-byid-contracts-json,2,1,0
Cross.list-simple-byid-contracts-xml,2,2,0
Cross.list-simple-byid-coverageeligibilityrequests,2,0,0
Cross.list-simple-byid-coverageeligibilityrequests-json,2,2,0
Cross.list-simple-byid-coverageeligibilityrequests-xml,2,2,0
Cross.list-simple-byid-coverageeligibilityresponses,2,0,0
Cross.list-simple-byid-coverageeligibilityresponses-json,2,1,0
Cross.list-simple-byid-coverageeligibilityresponses-xml,2,2,0
Cross.list-simple-byid-coverages,2,0,0
Cross.list-simple-byid-coverages-json,2,2,0
Cross.list-simple-byid-coverages-xml,2,2,0
Cross.list-simple-byid-detectedissues,2,0,0
Cross.list-simple-byid-detectedissues-json,2,1,0
Cross.list-simple-byid-detectedissues-xml,2,1,0
Cross.list-simple-byid-deviceassociations,2,0,0
Cross.list-simple-byid-deviceassociations-json,2,1,0
Cross.list-simple-byid-deviceassociations-xml,2,2,0
Cross.list-simple-byid-devicedefinitions,2,1,0
Cross.list-simple-byid-devicedefinitions-json,2,1,0
Cross.list-simple-byid-devicedefinitions-xml,2,3,0
Cross.list-simple-byid-devicedispenses,2,0,0
Cross.list-simple-byid-devicedispenses-json,2,2,0
Cross.list-simple-byid-devicedispenses-xml,2,2,0
Cross.list-simple-byid-devicemetrics,2,1,0
Cross.list-simple-byid-devicemetrics-json,2,2,0
Cross.list-simple-byid-devicemetrics-xml,2,2,0
Cross.list-simple-byid-devicerequests,2,0,0
Cross.list-simple-byid-devicerequests-json,2,0,0
Cross.list-simple-byid-devicerequests-xml,2,1,0
Cross.list-simple-byid-devices,2,0,0
Cross.list-simple-byid-devices-json,2,0,0
Cross.list-simple-byid-devices-xml,2,2,0
Cross.list-simple-byid-deviceusages,2,0,0
Cross.list-simple-byid-deviceusages-json,2,1,0
Cross.list-simple-byid-deviceusages-xml,2,2,0
Cross.list-simple-byid-diagnosticreports,2,0,0
Cross.list-simple-byid-diagnosticreports-json,2,2,0
Cross.list-simple-byid-diagnosticreports-xml,2,2,0
Cross.list-simple-byid-documentreferences,2,0,0
Cross.list-simple-byid-documentreferences-json,2,0,0
Cross.list-simple-byid-documentreferences-xml,2,2,0
Cross.list-simple-byid-domainresources,2,0,0
Cross.list-simple-byid-domainresources-json,2,0,0
Cross.list-simple-byid-domainresources-xml,2,2,0
Cross.list-simple-byid-encounterhistories,2,1,0
Cross.list-simple-byid-encounterhistories-json,2,1,0
Cross.list-simple-byid-encounterhistories-xml,2,1,0
Cross.list-simple-byid-encounters,2,0,0
Cross.list-simple-byid-encounters-json,2,1,0
Cross.list-simple-byid-encounters-xml,2,2,0
Cross.list-simple-byid-endpoints,2,1,0
Cross.list-simple-byid-endpoints-json,2,2,0
Cross.list-simple-byid-endpoints-xml,2,2,0
Cross.list-simple-byid-enrollmentrequests,2,0,0
Cross.list-simple-byid-enrollmentrequests-json,2,1,0
Cross.list-simple-byid-enrollmentrequests-xml,2,2,0
Cross.list-simple-byid-enrollmentresponses,2,0,0
Cross.list-simple-byid-enrollmentresponses-json,2,2,0
Cross.list-simple-byid-enrollmentresponses-xml,2,2,0
Cross.list-simple-byid-episodeofcares,2,0,0
Cross.list-simple-byid-episodeofcares-json,2,1,0
Cross.list-simple-byid-episodeofcares-xml,2,2,0
Cross.list-simple-byid-eventdefinitions,2,0,0
Cross.list-simple-byid-eventdefinitions-json,2,2,0
Cross.list-simple-byid-eventdefinitions-xml,2,4,0
Cross.list-simple-byid-evidencereports,2,0,0
Cross.list-simple-byid-evidencereports-json,2,1,0
Cross.list-simple-byid-evidencereports-xml,2,1,0
Cross.list-simple-byid-evidences,2,0,0
Cross.list-simple-byid-evidences-json,2,2,0
Cross.list-simple-byid-evidences-xml,2,2,0
Cross.list-simple-byid-evidencevariables,2,1,0
Cross.list-simple-byid-evidencevariables-json,2,1,0
Cross.list-simple-byid-evidencevariables-xml,2,2,0
Cross.list-simple-byid-examplescenarios,2,0,0
Cross.list-simple-byid-examplescenarios-json,2,0,0
Cross.list-simple-byid-examplescenarios-xml,2,2,0
Cross.list-simple-byid-explanationofbenefits,2,0,0
Cross.list-simple-byid-explanationofbenefits-json,2,2,0
Cross.list-simple-byid-explanationofbenefits-xml,2,2,0
Cross.list-simple-byid-familymemberhistories,2,1,0
Cross.list-simple-byid-familymemberhistories-json,2,1,0
Cross.list-simple-byid-familymemberhistories-xml,2,2,0
Cross.list-simple-byid-flags,2,0,0
Cross.list-simple-byid-flags-json,2,0,0
Cross.list-simple-byid-flags-xml,2,2,0
Cross.list-simple-byid-formularyitems,2,0,0
Cross.list-simple-byid-formularyitems-json,2,2,0
Cross.list-simple-byid-formularyitems-xml,2,2,0
Cross.list-simple-byid-genomicstudies,2,0,0
Cross.list-simple-byid-genomicstudies-json,2,1,0
Cross.list-simple-byid-genomicstudies-xml,2,2,0
Cross.list-simple-byid-goals,2,0,0
Cross.list-simple-byid-goals-json,2,2,0
Cross.list-simple-byid-goals-xml,2,2,0
Cross.list-simple-byid-graphdefinitions,2,0,0
Cross.list-simple-byid-graphdefinitions-json,2,1,0
Cross.list-simple-byid-graphdefinitions-xml,2,2,0
Cross.list-simple-byid-groups,2,0,0
Cross.list-simple-byid-groups-json,2,1,0
Cross.list-simple-byid-groups-xml,2,1,0
Cross.list-simple-byid-guidanceresponses,2,0,0
Cross.list-simple-byid-guidanceresponses-json,2,2,0
Cross.list-simple-byid-guidanceresponses-xml,2,2,0
Cross.list-simple-byid-healthcareservices,2,0,0
Cross.list-simple-byid-healthcareservices-json,2,1,0
Cross.list-simple-byid-healthcareservices-xml,2,2,0
Cross.list-simple-byid-imagingselections,2,0,0
Cross.list-simple-byid-imagingselections-json,2,1,0
Cross.list-simple-byid-imagingselections-xml,2,2,0
Cross.list-simple-byid-imagingstudies,2,1,0
Cross.list-simple-byid-imagingstudies-json,2,2,0
Cross.list-simple-byid-imagingstudies-xml,2,2,0
Cross.list-simple-byid-immunizationevaluations,2,0,0
Cross.list-simple-byid-immunizationevaluations-json,2,1,0
Cross.list-simple-byid-immunizationevaluations-xml,2,2,0
Cross.list-simple-byid-immunizationrecommendations,2,0,0
Cross.list-simple-byid-immunizationrecommendations-json,2,1,0
Cross.list-simple-byid-immunizationrecommendations-xml,2,2,0
Cross.list-simple-byid-immunizations,2,0,0
Cross.list-simple-byid-immunizations-json,2,0,0
Cross.list-simple-byid-immunizations-xml,2,2,0
Cross.list-simple-byid-implementationguides,2,1,118
Cross.list-simple-byid-implementationguides-json,2,1,128
Cross.list-simple-byid-implementationguides-xml,2,2,126
Cross.list-simple-byid-ingredients,2,0,0
Cross.list-simple-byid-ingredients-json,2,0,0
Cross.list-simple-byid-ingredients-xml,2,2,0
Cross.list-simple-byid-insuranceplans,2,1,0
Cross.list-simple-byid-insuranceplans-json,2,1,0
Cross.list-simple-byid-insuranceplans-xml,2,2,0
Cross.list-simple-byid-inventoryitems,2,0,0
Cross.list-simple-byid-inventoryitems-json,2,1,0
Cross.list-simple-byid-inventoryitems-xml,2,2,0
Cross.list-simple-byid-inventoryreports,2,1,0
Cross.list-simple-byid-inventoryreports-json,2,2,0
Cross.list-simple-byid-inventoryreports-xml,2,2,0
Cross.list-simple-byid-invoices,2,1,0
Cross.list-simple-byid-invoices-json,2,1,0
Cross.list-simple-byid-invoices-xml,2,1,0
Cross.list-simple-byid-libraries,2,0,0
Cross.list-simple-byid-libraries-json,2,1,0
Cross.list-simple-byid-libraries-xml,2,2,0
Cross.list-simple-byid-linkages,2,1,0
Cross.list-simple-byid-linkages-json,2,1,0
Cross.list-simple-byid-linkages-xml,2,2,0
Cross.list-simple-byid-lists,2,1,0
Cross.list-simple-byid-lists-json,2,2,0
Cross.list-simple-byid-lists-xml,2,2,0
Cross.list-simple-byid-locations,2,0,0
Cross.list-simple-byid-locations-json,2,2,0
Cross.list-simple-byid-locations-xml,2,2,0
Cross.list-simple-byid-manufactureditemdefinitions,2,0,0
Cross.list-simple-byid-manufactureditemdefinitions-json,2,0,0
Cross.list-simple-byid-manufactureditemdefinitions-xml,2,2,0
Cross.list-simple-byid-measurereports,2,0,0
Cross.list-simple-byid-measurereports-json,2,1,0
Cross.list-simple-byid-measurereports-xml,2,2,0
Cross.list-simple-byid-measures,2,0,0
Cross.list-simple-byid-measures-json,2,0,0
Cross.list-simple-byid-measures-xml,2,2,0
Cross.list-simple-byid-medicationadministrations,2,0,0
Cross.list-simple-byid-medicationadministrations-json,2,1,0
Cross.list-simple-byid-medicationadministrations-xml,2,2,0
Cross.list-simple-byid-medicationdispenses,2,1,0
Cross.list-simple-byid-medicationdispenses-json,2,2,0
Cross.list-simple-byid-medicationdispenses-xml,2,2,0
Cross.list-simple-byid-medicationknowledges,2,0,0
Cross.list-simple-byid-medicationknowledges-json,2,2,0
Cross.list-simple-byid-medicationknowledges-xml,2,2,0
Cross.list-simple-byid-medicationrequests,2,1,0
Cross.list-simple-byid-medicationrequests-json,2,1,0
Cross.list-simple-byid-medicationrequests-xml,2,2,0
Cross.list-simple-byid-medications,2,0,0
Cross.list-simple-byid-medications-json,2,1,0
Cross.list-simple-byid-medications-xml,2,2,0
Cross.list-simple-byid-medicationstatements,2,0,0
Cross.list-simple-byid-medicationstatements-json,2,1,0
Cross.list-simple-byid-medicationstatements-xml,2,2,0
Cross.list-simple-byid-medicinalproductdefinitions,2,0,0
Cross.list-simple-byid-medicinalproductdefinitions-json,2,1,0
Cross.list-simple-byid-medicinalproductdefinitions-xml,2,1,0
Cross.list-simple-byid-messagedefinitions,2,0,0
Cross.list-simple-byid-messagedefinitions-json,2,0,0
Cross.list-simple-byid-messagedefinitions-xml,2,2,0
Cross.list-simple-byid-messageheaders,2,1,0
Cross.list-simple-byid-messageheaders-json,2,1,0
Cross.list-simple-byid-messageheaders-xml,2,2,0
Cross.list-simple-byid-metadataresources,2,0,0
Cross.list-simple-byid-metadataresources-json,2,2,0
Cross.list-simple-byid-metadataresources-xml,2,2,0
Cross.list-simple-byid-molecularsequences,2,1,0
Cross.list-simple-byid-molecularsequences-json,2,2,0
Cross.list-simple-byid-molecularsequences-xml,2,3,0
Cross.list-simple-byid-namingsystems,2,1,0
Cross.list-simple-byid-namingsystems-json,2,1,0
Cross.list-simple-byid-namingsystems-xml,2,2,0
Cross.list-simple-byid-nutritionintakes,2,0,0
Cross.list-simple-byid-nutritionintakes-json,2,1,0
Cross.list-simple-byid-nutritionintakes-xml,2,2,0
Cross.list-simple-byid-nutritionorders,2,0,0
Cross.list-simple-byid-nutritionorders-json,2,1,0
Cross.list-simple-byid-nutritionorders-xml,2,2,0
Cross.list-simple-byid-nutritionproducts,2,1,0
Cross.list-simple-byid-nutritionproducts-json,2,1,0
Cross.list-simple-byid-nutritionproducts-xml,2,2,0
Cross.list-simple-byid-observationdefinitions,2,0,0
Cross.list-simple-byid-observationdefinitions-json,2,1,0
Cross.list-simple-byid-observationdefinitions-xml,2,1,0
Cross.list-simple-byid-observations,2,1,0
Cross.list-simple-byid-observations-json,2,1,0
Cross.list-simple-byid-observations-xml,2,2,0
Cross.list-simple-byid-operationdefinitions,2,0,0
Cross.list-simple-byid-operationdefinitions-json,2,2,0
Cross.list-simple-byid-operationdefinitions-xml,2,2,0
Cross.list-simple-byid-operationoutcomes,2,0,0
Cross.list-simple-byid-operationoutcomes-json,2,1,0
Cross.list-simple-byid-operationoutcomes-xml,2,2,0
Cross.list-simple-byid-organizationaffiliations,2,0,0
Cross.list-simple-byid-organizationaffiliations-json,2,1,0
Cross.list-simple-byid-organizationaffiliations-xml,2,2,0
Cross.list-simple-byid-organizations,2,1,0
Cross.list-simple-byid-organizations-json,2,2,0
Cross.list-simple-byid-organizations-xml,2,2,0
Cross.list-simple-byid-packagedproductdefinitions,2,0,0
Cross.list-simple-byid-packagedproductdefinitions-json,2,0,0
Cross.list-simple-byid-packagedproductdefinitions-xml,2,1,0
Cross.list-simple-byid-parameters,2,0,0
Cross.list-simple-byid-parameters-json,2,0,0
Cross.list-simple-byid-parameters-xml,2,1,0
Cross.list-simple-byid-patients,2,1,0
Cross.list-simple-byid-patients-json,2,1,0
Cross.list-simple-byid-patients-xml,2,2,0
Cross.list-simple-byid-paymentnotices,2,0,0
Cross.list-simple-byid-paymentnotices-json,2,1,0
Cross.list-simple-byid-paymentnotices-xml,2,2,0
Cross.list-simple-byid-paymentreconciliations,2,0,0
Cross.list-simple-byid-paymentreconciliations-json,2,1,0
Cross.list-simple-byid-paymentreconciliations-xml,2,2,0
Cross.list-simple-byid-people,2,0,0
Cross.list-simple-byid-people-json,2,1,0
