Fragment,Count,Time (ms),Size (bytes)
Cross.list-byid-healthcareservices-xml,2,2,0
Cross.list-byid-imagingselections,2,0,0
Cross.list-byid-imagingselections-json,2,1,0
Cross.list-byid-imagingselections-xml,2,2,0
Cross.list-byid-imagingstudies,2,1,0
Cross.list-byid-imagingstudies-json,2,1,0
Cross.list-byid-imagingstudies-xml,2,2,0
Cross.list-byid-immunizationevaluations,2,0,0
Cross.list-byid-immunizationevaluations-json,2,1,0
Cross.list-byid-immunizationevaluations-xml,2,1,0
Cross.list-byid-immunizationrecommendations,2,0,0
Cross.list-byid-immunizationrecommendations-json,2,1,0
Cross.list-byid-immunizationrecommendations-xml,2,1,0
Cross.list-byid-immunizations,2,0,0
Cross.list-byid-immunizations-json,2,0,0
Cross.list-byid-immunizations-xml,2,2,0
Cross.list-byid-implementationguides,2,1,236
Cross.list-byid-implementationguides-json,2,1,246
Cross.list-byid-implementationguides-xml,2,2,244
Cross.list-byid-ingredients,2,0,0
Cross.list-byid-ingredients-json,2,0,0
Cross.list-byid-ingredients-xml,2,1,0
Cross.list-byid-insuranceplans,2,0,0
Cross.list-byid-insuranceplans-json,2,1,0
Cross.list-byid-insuranceplans-xml,2,1,0
Cross.list-byid-inventoryitems,2,0,0
Cross.list-byid-inventoryitems-json,2,1,0
Cross.list-byid-inventoryitems-xml,2,2,0
Cross.list-byid-inventoryreports,2,1,0
Cross.list-byid-inventoryreports-json,2,2,0
Cross.list-byid-inventoryreports-xml,2,2,0
Cross.list-byid-invoices,2,0,0
Cross.list-byid-invoices-json,2,1,0
Cross.list-byid-invoices-xml,2,1,0
Cross.list-byid-libraries,2,0,0
Cross.list-byid-libraries-json,2,0,0
Cross.list-byid-libraries-xml,2,2,0
Cross.list-byid-linkages,2,0,0
Cross.list-byid-linkages-json,2,1,0
Cross.list-byid-linkages-xml,2,2,0
Cross.list-byid-lists,2,0,0
Cross.list-byid-lists-json,2,1,0
Cross.list-byid-lists-xml,2,2,0
Cross.list-byid-locations,2,0,0
Cross.list-byid-locations-json,2,2,0
Cross.list-byid-locations-xml,2,2,0
Cross.list-byid-manufactureditemdefinitions,2,0,0
Cross.list-byid-manufactureditemdefinitions-json,2,0,0
Cross.list-byid-manufactureditemdefinitions-xml,2,1,0
Cross.list-byid-measurereports,2,0,0
Cross.list-byid-measurereports-json,2,1,0
Cross.list-byid-measurereports-xml,2,1,0
Cross.list-byid-measures,2,0,0
Cross.list-byid-measures-json,2,0,0
Cross.list-byid-measures-xml,2,1,0
Cross.list-byid-medicationadministrations,2,0,0
Cross.list-byid-medicationadministrations-json,2,1,0
Cross.list-byid-medicationadministrations-xml,2,2,0
Cross.list-byid-medicationdispenses,2,0,0
Cross.list-byid-medicationdispenses-json,2,2,0
Cross.list-byid-medicationdispenses-xml,2,2,0
Cross.list-byid-medicationknowledges,2,0,0
Cross.list-byid-medicationknowledges-json,2,2,0
Cross.list-byid-medicationknowledges-xml,2,2,0
Cross.list-byid-medicationrequests,2,0,0
Cross.list-byid-medicationrequests-json,2,1,0
Cross.list-byid-medicationrequests-xml,2,2,0
Cross.list-byid-medications,2,0,0
Cross.list-byid-medications-json,2,1,0
Cross.list-byid-medications-xml,2,1,0
Cross.list-byid-medicationstatements,2,0,0
Cross.list-byid-medicationstatements-json,2,0,0
Cross.list-byid-medicationstatements-xml,2,1,0
Cross.list-byid-medicinalproductdefinitions,2,0,0
Cross.list-byid-medicinalproductdefinitions-json,2,1,0
Cross.list-byid-medicinalproductdefinitions-xml,2,1,0
Cross.list-byid-messagedefinitions,2,0,0
Cross.list-byid-messagedefinitions-json,2,0,0
Cross.list-byid-messagedefinitions-xml,2,1,0
Cross.list-byid-messageheaders,2,0,0
Cross.list-byid-messageheaders-json,2,1,0
Cross.list-byid-messageheaders-xml,2,2,0
Cross.list-byid-metadataresources,2,0,0
Cross.list-byid-metadataresources-json,2,2,0
Cross.list-byid-metadataresources-xml,2,2,0
Cross.list-byid-molecularsequences,2,1,0
Cross.list-byid-molecularsequences-json,2,1,0
Cross.list-byid-molecularsequences-xml,2,2,0
Cross.list-byid-namingsystems,2,0,0
Cross.list-byid-namingsystems-json,2,1,0
Cross.list-byid-namingsystems-xml,2,2,0
Cross.list-byid-nutritionintakes,2,0,0
Cross.list-byid-nutritionintakes-json,2,0,0
Cross.list-byid-nutritionintakes-xml,2,1,0
Cross.list-byid-nutritionorders,2,0,0
Cross.list-byid-nutritionorders-json,2,0,0
Cross.list-byid-nutritionorders-xml,2,2,0
Cross.list-byid-nutritionproducts,2,0,0
Cross.list-byid-nutritionproducts-json,2,1,0
Cross.list-byid-nutritionproducts-xml,2,2,0
Cross.list-byid-observationdefinitions,2,0,0
Cross.list-byid-observationdefinitions-json,2,1,0
Cross.list-byid-observationdefinitions-xml,2,1,0
Cross.list-byid-observations,2,0,0
Cross.list-byid-observations-json,2,1,0
Cross.list-byid-observations-xml,2,1,0
Cross.list-byid-operationdefinitions,2,0,0
Cross.list-byid-operationdefinitions-json,2,2,0
Cross.list-byid-operationdefinitions-xml,2,2,0
Cross.list-byid-operationoutcomes,2,0,0
Cross.list-byid-operationoutcomes-json,2,1,0
Cross.list-byid-operationoutcomes-xml,2,2,0
Cross.list-byid-organizationaffiliations,2,0,0
Cross.list-byid-organizationaffiliations-json,2,1,0
Cross.list-byid-organizationaffiliations-xml,2,1,0
Cross.list-byid-organizations,2,0,0
Cross.list-byid-organizations-json,2,1,0
Cross.list-byid-organizations-xml,2,2,0
Cross.list-byid-packagedproductdefinitions,2,0,0
Cross.list-byid-packagedproductdefinitions-json,2,0,0
Cross.list-byid-packagedproductdefinitions-xml,2,1,0
Cross.list-byid-parameters,2,0,0
Cross.list-byid-parameters-json,2,0,0
Cross.list-byid-parameters-xml,2,1,0
Cross.list-byid-patients,2,0,0
Cross.list-byid-patients-json,2,1,0
Cross.list-byid-patients-xml,2,2,0
Cross.list-byid-paymentnotices,2,0,0
Cross.list-byid-paymentnotices-json,2,0,0
Cross.list-byid-paymentnotices-xml,2,2,0
Cross.list-byid-paymentreconciliations,2,0,0
Cross.list-byid-paymentreconciliations-json,2,0,0
Cross.list-byid-paymentreconciliations-xml,2,1,0
Cross.list-byid-people,2,0,0
Cross.list-byid-people-json,2,1,0
Cross.list-byid-people-xml,2,2,0
Cross.list-byid-permissions,2,0,0
Cross.list-byid-permissions-json,2,1,0
Cross.list-byid-permissions-xml,2,2,0
Cross.list-byid-plandefinitions,2,0,0
Cross.list-byid-plandefinitions-json,2,0,0
Cross.list-byid-plandefinitions-xml,2,0,0
Cross.list-byid-practitionerroles,2,0,0
Cross.list-byid-practitionerroles-json,2,0,0
Cross.list-byid-practitionerroles-xml,2,0,0
Cross.list-byid-practitioners,2,0,0
Cross.list-byid-practitioners-json,2,1,0
Cross.list-byid-practitioners-xml,2,1,0
Cross.list-byid-procedures,2,0,0
Cross.list-byid-procedures-json,2,2,0
Cross.list-byid-procedures-xml,2,2,0
Cross.list-byid-provenances,2,0,0
Cross.list-byid-provenances-json,2,2,0
Cross.list-byid-provenances-xml,2,2,0
Cross.list-byid-questionnaireresponses,2,0,0
Cross.list-byid-questionnaireresponses-json,2,1,0
Cross.list-byid-questionnaireresponses-xml,2,1,0
Cross.list-byid-questionnaires,2,0,0
Cross.list-byid-questionnaires-json,2,1,0
Cross.list-byid-questionnaires-xml,2,1,0
Cross.list-byid-regulatedauthorizations,2,1,0
Cross.list-byid-regulatedauthorizations-json,2,1,0
Cross.list-byid-regulatedauthorizations-xml,2,2,0
Cross.list-byid-relatedpeople,2,0,0
Cross.list-byid-relatedpeople-json,2,1,0
Cross.list-byid-relatedpeople-xml,2,2,0
Cross.list-byid-requestorchestrations,2,0,0
Cross.list-byid-requestorchestrations-json,2,1,0
Cross.list-byid-requestorchestrations-xml,2,2,0
Cross.list-byid-requirements,2,0,0
Cross.list-byid-requirements-json,2,1,0
Cross.list-byid-requirements-xml,2,2,0
Cross.list-byid-researchstudies,2,0,0
Cross.list-byid-researchstudies-json,2,1,0
Cross.list-byid-researchstudies-xml,2,2,0
Cross.list-byid-researchsubjects,2,0,0
Cross.list-byid-researchsubjects-json,2,0,0
Cross.list-byid-researchsubjects-xml,2,1,0
Cross.list-byid-resources,2,0,0
Cross.list-byid-resources-json,2,1,0
Cross.list-byid-resources-xml,2,2,0
Cross.list-byid-riskassessments,2,0,0
Cross.list-byid-riskassessments-json,2,0,0
Cross.list-byid-riskassessments-xml,2,1,0
Cross.list-byid-schedules,2,0,0
Cross.list-byid-schedules-json,2,1,0
Cross.list-byid-schedules-xml,2,1,0
